timestamp_s,lf_heel_l_N,lf_heel_r_N,lf_mid_l_N,lf_mid_r_N,lf_toe_l_N,lf_toe_c_N,lf_toe_r_N,rf_heel_l_N,rf_heel_r_N,rf_mid_l_N,rf_mid_r_N,rf_toe_l_N,rf_toe_c_N,rf_toe_r_N
0.290,37.055,35.232,25.251,29.370,2.744,0.620,0.641,1.396,0.000,0.296,0.000,0.136,0.132,0.000
0.300,32.780,28.640,25.073,27.505,2.497,0.000,1.769,0.780,0.000,1.493,0.109,0.532,0.000,0.000
0.310,28.581,24.291,24.553,25.424,3.171,1.490,3.476,0.000,0.000,3.126,2.330,0.875,0.000,0.000
0.320,23.842,21.401,22.469,22.737,5.833,5.632,5.860,0.000,0.000,3.137,2.228,0.280,0.604,0.000
0.330,19.142,18.802,19.271,19.737,9.868,10.691,8.765,0.077,0.000,1.048,0.233,0.000,0.951,0.000
0.340,15.121,16.031,16.332,17.312,13.612,15.257,11.963,2.112,0.000,0.000,0.000,0.000,0.000,0.000
0.350,11.455,13.122,14.174,15.859,16.607,19.473,15.946,3.331,0.000,0.000,0.000,0.293,0.000,0.000
0.360,7.742,10.163,12.228,14.737,20.462,24.808,21.799,2.651,0.000,0.171,0.000,1.151,0.000,0.000
0.370,4.744,7.469,10.243,12.997,26.902,32.934,29.703,0.821,0.000,2.071,0.430,0.924,0.000,0.000
0.380,3.715,5.591,8.887,10.510,35.649,44.414,38.156,0.000,0.000,2.163,1.166,0.035,1.132,0.095
0.390,4.564,4.705,8.687,8.045,44.988,58.137,45.547,0.000,0.000,0.618,1.232,0.000,2.820,0.317
0.400,5.532,4.305,9.027,6.136,53.991,72.506,52.278,0.000,0.594,0.000,0.656,0.197,1.862,0.310
0.410,4.857,3.761,8.517,4.315,63.210,87.175,60.322,0.000,1.029,0.193,0.000,0.597,0.000,0.598
0.420,2.374,2.854,6.356,1.979,73.209,102.840,70.371,0.000,1.030,1.740,0.000,0.000,0.000,1.105
0.430,0.000,1.667,3.346,0.000,83.199,119.262,80.376,0.000,0.779,1.566,0.000,0.000,1.301,1.227
0.440,0.000,0.478,1.255,0.000,91.530,134.480,87.724,0.000,0.013,0.000,0.000,0.000,2.577,0.726
0.450,0.000,0.000,0.868,0.000,97.158,146.356,92.085,0.000,0.000,0.000,0.337,0.000,1.852,0.046
0.460,0.580,0.433,1.112,0.772,100.145,154.094,94.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.470,1.571,1.617,0.652,1.630,100.982,157.754,97.174,0.000,0.000,0.000,0.000,0.953,0.000,0.000
0.480,0.800,2.070,0.000,1.651,100.046,157.062,97.760,0.000,0.182,0.000,0.000,0.216,0.000,0.000
0.490,0.000,0.883,0.000,1.158,97.581,151.530,95.732,0.403,1.702,0.000,0.000,0.000,0.000,0.139
0.500,0.000,0.000,0.977,0.393,93.509,141.426,91.286,0.000,0.000,0.000,0.000,0.000,0.000,1.089
0.510,0.000,0.000,1.982,0.000,87.239,127.955,85.326,0.000,0.000,0.000,0.000,0.000,0.000,1.364
0.520,0.096,0.000,2.050,0.000,78.288,112.446,78.240,0.000,0.642,0.000,0.000,0.601,0.723,0.397
0.530,1.890,0.098,1.600,0.000,67.278,95.747,69.685,14.191,16.442,0.000,0.000,0.061,1.276,0.000
0.540,2.387,1.048,1.407,0.000,56.103,78.643,59.570,38.346,39.740,0.000,0.000,0.000,0.000,0.000
0.550,1.182,0.447,1.886,0.000,46.894,62.622,49.040,60.828,59.923,0.000,0.000,0.195,0.000,0.000
0.560,0.000,0.000,3.048,0.000,40.332,49.340,39.932,72.952,71.107,0.000,0.000,1.936,0.000,0.000
0.570,0.000,0.000,4.259,0.000,34.535,38.804,32.658,76.601,76.372,0.733,0.000,2.709,0.000,0.000
0.580,0.622,0.000,4.340,0.000,26.310,28.955,25.170,79.475,81.522,1.660,0.490,1.672,0.332,0.000
0.590,1.390,0.000,2.878,0.050,14.726,18.220,15.494,85.446,88.208,1.105,2.132,0.448,0.541,0.000
0.600,0.325,0.063,1.192,0.530,3.191,7.943,5.188,92.072,94.299,0.000,3.069,1.107,0.000,0.371
0.610,0.000,0.000,1.009,0.587,0.000,1.045,0.000,95.922,98.231,0.000,3.108,3.321,0.000,0.881
0.620,0.000,0.000,2.186,0.316,0.000,0.000,0.000,97.236,100.609,0.000,2.869,4.575,0.000,0.754
0.630,0.000,0.000,2.750,0.000,0.000,0.000,0.651,98.698,102.260,0.000,2.958,3.214,0.407,0.000
0.640,0.782,0.000,1.520,0.000,2.046,0.884,3.283,101.327,102.668,0.000,3.633,0.386,1.548,0.000
0.650,2.771,0.481,0.000,0.000,1.578,2.157,3.577,103.096,100.803,2.555,5.152,0.000,1.489,0.000
0.660,2.817,2.357,0.000,0.000,0.127,2.501,2.229,101.446,96.790,4.918,7.678,0.000,0.233,1.844
0.670,1.344,2.333,1.008,1.452,0.000,1.406,0.897,96.197,92.228,5.144,10.585,0.000,0.000,3.418
0.680,0.000,0.893,1.882,3.514,1.384,0.000,0.528,89.597,88.582,4.637,12.536,0.981,0.198,3.012
0.690,0.014,0.000,0.789,3.347,3.212,0.000,0.942,83.974,85.348,5.910,12.957,1.433,1.390,0.923
0.700,1.471,0.228,0.000,0.773,3.619,0.000,1.282,79.704,80.479,9.756,13.056,0.651,1.160,0.000
0.710,2.656,1.462,0.000,0.000,1.992,0.568,0.835,75.355,72.913,14.702,14.578,0.000,0.000,0.000
0.720,2.013,2.302,0.000,0.000,0.000,3.316,0.000,69.537,63.991,18.667,17.722,0.000,0.000,0.000
0.730,0.007,2.415,2.153,2.299,0.000,3.543,0.000,62.296,55.916,20.487,20.981,0.000,0.000,0.452
0.740,0.000,2.384,2.242,5.162,0.000,1.217,0.000,54.657,49.416,20.409,22.901,1.204,0.000,0.028
0.750,0.000,2.462,0.000,4.469,0.000,0.000,0.000,47.394,43.799,19.885,23.345,2.855,0.774,0.000
0.760,0.150,2.215,0.000,0.544,0.849,0.000,0.000,40.676,38.769,20.537,22.952,2.696,1.471,0.000
0.770,0.000,1.578,0.000,0.000,2.469,0.000,0.000,34.469,34.635,22.479,22.054,2.062,2.048,0.000
0.780,0.000,1.239,0.000,0.000,3.530,0.000,0.000,28.852,30.666,23.850,20.647,2.569,2.465,0.703
0.790,0.000,1.384,1.844,0.000,3.662,0.000,0.000,24.065,25.071,22.799,19.013,4.305,2.556,1.176
0.800,0.000,0.950,3.752,0.000,2.494,0.000,0.000,20.283,17.615,19.737,17.535,6.190,2.775,1.338
0.810,1.079,0.000,3.505,1.897,0.364,0.171,0.000,17.240,10.938,16.703,15.964,7.365,4.170,2.374
0.820,1.605,0.000,2.171,1.956,0.000,0.000,0.000,14.252,7.854,14.708,13.587,8.189,7.560,5.664
0.830,0.158,0.000,0.893,1.246,0.000,0.000,0.000,10.870,7.935,12.873,10.185,10.194,12.866,11.239
0.840,0.000,0.000,0.000,1.408,0.000,0.000,0.932,7.494,8.119,10.305,6.408,14.742,19.500,17.561
0.850,0.000,0.813,0.000,2.779,2.208,0.000,1.001,5.103,6.497,7.536,3.255,21.604,27.519,23.218
0.860,0.199,1.527,0.000,4.080,3.326,0.000,0.412,4.084,4.165,5.505,1.449,29.259,37.898,28.394
0.870,0.707,0.064,0.000,3.863,2.556,0.000,0.148,3.439,3.019,4.076,1.175,36.705,51.205,34.372
0.880,0.624,0.000,0.000,2.065,0.542,0.000,0.649,1.701,3.004,2.559,2.065,44.299,66.382,41.986
0.890,0.831,0.000,0.753,0.000,0.000,0.000,1.227,0.000,2.508,1.182,3.323,52.446,81.282,50.758
0.900,1.192,0.000,1.303,0.000,0.000,0.000,0.776,0.000,0.705,0.881,4.074,60.307,93.962,59.231
0.910,0.619,0.000,0.479,0.000,0.000,0.000,0.000,0.000,0.000,1.708,3.846,66.543,103.259,65.926
0.920,0.000,0.000,0.000,0.318,0.000,1.119,0.000,0.083,0.000,2.610,2.785,70.578,108.957,70.248
0.930,0.000,0.076,0.000,2.026,0.062,2.150,0.000,2.967,0.000,2.940,1.277,72.386,111.717,72.631
0.940,0.000,2.312,0.000,2.232,1.011,2.046,0.424,3.699,0.000,3.045,0.000,71.769,111.993,73.544
0.950,0.000,3.696,0.000,0.439,1.671,1.665,1.684,2.207,0.470,2.962,0.000,68.683,108.727,72.236
0.960,0.000,0.721,0.000,0.000,1.948,1.416,1.095,0.381,2.505,1.750,0.000,63.711,100.126,67.230
0.970,0.000,0.000,0.000,0.000,1.619,1.163,0.000,0.000,2.465,0.000,0.000,57.487,86.175,58.639
0.980,0.000,0.065,0.000,0.000,0.362,0.797,0.000,0.856,0.327,0.000,0.000,50.056,69.627,49.063
0.990,20.750,21.486,0.000,0.000,0.000,0.360,0.000,1.357,0.000,0.000,0.457,41.445,54.054,41.209
1.000,52.501,55.111,0.000,0.815,0.000,0.000,0.000,0.311,0.000,0.000,0.830,32.457,41.280,35.174
1.010,80.306,85.166,0.000,2.332,0.000,0.000,0.000,0.000,0.000,0.810,0.000,24.080,30.735,28.906
1.020,94.917,100.617,0.000,2.685,0.000,0.000,0.487,0.000,0.000,2.005,0.000,16.357,20.893,21.008
1.030,100.150,104.115,0.000,1.553,0.983,0.000,1.615,0.000,0.092,1.651,0.000,8.903,11.378,12.526
1.040,105.292,105.602,0.839,0.023,0.581,1.353,2.134,2.468,1.108,0.360,0.660,2.488,3.734,6.041
1.050,114.210,111.187,2.843,0.000,0.000,2.127,1.402,3.275,0.972,0.000,2.121,0.000,0.000,3.226
1.060,123.804,119.673,3.420,0.965,0.417,1.351,0.000,1.914,0.486,0.000,2.552,0.000,0.000,3.358
1.070,129.954,126.903,2.363,2.841,1.444,0.180,0.000,0.041,0.556,0.000,1.886,0.000,0.000,4.228
1.080,132.082,130.850,1.102,4.324,1.755,0.227,0.000,0.000,1.146,0.000,0.524,0.000,0.266,4.225
1.090,132.727,132.716,0.930,5.235,1.257,1.492,0.000,0.000,1.399,0.000,0.000,0.000,0.346,3.279
1.100,134.620,134.533,1.703,5.689,0.738,2.379,0.000,0.465,0.853,0.000,0.000,0.000,0.856,2.092
1.110,138.351,136.784,2.519,5.607,0.493,1.648,0.465,0.838,0.215,0.339,0.000,0.000,1.326,1.106
1.120,141.983,138.471,3.008,5.194,0.310,0.000,2.202,0.310,0.499,1.301,0.251,0.500,0.862,0.364
1.130,142.763,138.559,3.609,5.400,0.274,0.000,2.922,0.000,1.529,1.131,2.401,2.720,0.000,0.000
1.140,139.580,136.705,4.946,7.203,0.648,0.000,1.906,0.000,2.007,0.142,3.521,3.381,0.000,0.189
1.150,133.858,133.244,7.187,10.464,1.127,0.000,0.069,0.000,1.311,0.000,2.435,1.999,0.842,1.017
1.160,128.090,129.049,9.949,13.903,0.947,0.000,0.000,0.330,0.479,0.000,0.000,0.234,2.065,1.600
1.170,123.551,124.792,12.725,16.193,0.000,0.000,0.000,2.192,0.734,0.000,0.000,0.000,1.382,0.859
1.180,119.364,119.944,15.284,16.912,0.000,0.329,0.000,2.392,1.526,0.000,0.000,0.895,0.000,0.000
1.190,113.670,113.293,17.676,16.813,0.000,0.800,0.000,1.171,1.107,0.000,0.000,1.588,0.000,0.000
1.200,105.657,104.757,20.043,17.491,0.012,0.766,0.000,0.000,0.000,0.000,0.397,0.965,0.000,0.000
1.210,96.395,95.787,22.528,20.225,0.826,0.720,0.000,0.000,0.000,1.233,1.379,0.000,2.172,0.852
1.220,87.736,87.626,25.217,24.646,0.954,0.858,0.235,0.000,0.000,0.741,2.236,0.000,3.964,2.272
1.230,80.538,80.032,28.051,28.906,0.564,0.860,2.508,0.000,0.124,0.000,3.213,0.000,2.830,1.302
1.240,73.955,72.180,30.838,31.352,0.136,0.648,3.409,1.695,1.250,0.000,3.418,0.000,0.185,0.000
1.250,66.542,64.134,33.144,31.779,0.108,0.606,2.277,2.548,0.016,0.000,2.043,1.167,0.000,0.000
1.260,58.015,56.755,34.062,31.208,0.751,0.780,0.454,1.300,0.000,0.000,0.000,1.645,0.000,0.000
1.270,49.490,50.384,32.752,30.926,2.000,0.608,0.000,0.000,0.000,0.003,0.000,1.392,0.000,0.570
1.280,42.008,44.323,29.793,31.571,3.454,0.000,0.416,0.000,0.463,0.451,0.000,1.022,0.327,1.837
1.290,35.621,37.826,27.286,32.629,4.603,0.000,1.742,0.000,2.673,1.079,0.000,0.792,0.458,2.252
1.300,30.012,31.189,26.685,32.660,5.118,0.000,3.722,0.000,3.004,1.431,0.000,0.516,0.135,1.974
1.310,25.219,25.592,26.918,30.317,5.258,0.472,6.962,0.000,1.826,0.265,1.824,0.184,0.073,1.480
1.320,21.460,21.899,25.539,25.531,6.007,4.051,10.843,1.039,0.805,0.000,3.747,0.202,0.528,1.073
1.330,18.626,19.672,21.658,19.867,8.347,9.092,13.549,1.380,0.891,0.000,4.000,0.908,0.992,0.671
1.340,16.169,17.513,16.952,15.473,12.347,14.697,14.489,0.758,1.669,0.000,2.696,2.054,0.741,0.123
1.350,13.505,14.485,13.619,13.338,17.355,20.474,15.591,0.000,2.293,0.000,1.027,2.871,0.000,0.000
1.360,10.574,11.054,12.088,12.582,22.936,27.357,19.532,0.000,2.382,1.035,0.002,2.612,0.000,0.000
1.370,7.936,8.385,11.148,11.589,29.156,36.772,27.205,0.000,1.938,0.000,0.000,1.244,0.000,0.000
1.380,6.149,6.794,9.620,9.653,36.093,48.809,37.209,0.000,1.115,0.000,0.165,0.000,0.000,0.000
1.390,5.116,5.322,7.342,7.340,43.721,61.971,47.391,0.000,0.391,0.000,0.647,0.000,0.147,0.000
1.400,4.186,3.152,5.019,5.470,52.325,75.130,56.704,0.000,0.436,0.000,0.646,0.654,2.739,0.000
1.410,3.028,0.982,3.560,4.160,62.208,88.869,65.648,0.000,1.435,0.000,0.000,1.602,3.627,0.000
1.420,2.137,0.245,3.290,2.856,72.729,104.040,74.940,0.000,2.724,2.378,0.000,1.372,2.681,0.000
1.430,1.959,1.105,3.550,1.136,82.457,119.658,84.087,0.898,3.254,4.286,0.000,0.331,1.401,1.963
1.440,1.821,2.004,3.187,0.000,90.528,133.453,91.789,0.648,2.421,2.724,0.000,0.000,1.046,3.073
1.450,0.725,1.469,1.602,0.000,96.897,144.194,97.404,0.000,0.598,0.000,0.000,0.000,1.505,2.327
1.460,0.000,0.000,0.000,0.000,101.009,152.105,101.158,0.000,0.000,0.000,0.000,0.000,2.125,0.944
1.470,0.000,0.000,0.000,0.000,101.516,156.965,102.959,0.000,0.000,0.000,0.596,0.000,2.667,0.423
1.480,0.000,0.000,0.000,0.000,98.074,157.236,102.047,0.059,0.483,0.000,0.840,0.000,2.925,0.563
1.490,1.196,0.000,0.977,0.740,92.528,151.663,98.117,0.940,1.428,0.000,0.828,0.000,2.280,0.010
1.500,1.571,0.000,1.423,1.636,87.250,140.901,91.947,0.000,0.062,0.224,0.473,0.000,0.523,0.000
1.510,0.632,0.000,0.000,2.317,82.499,126.981,84.407,0.000,0.000,0.688,0.000,0.685,0.000,0.000
1.520,0.000,0.000,0.000,2.218,76.367,111.608,75.487,0.000,2.286,0.641,0.000,2.403,0.000,0.000
1.530,0.000,0.000,0.000,1.047,67.497,95.532,65.049,15.439,17.208,0.048,0.224,3.233,0.000,0.836
1.540,0.243,0.000,0.230,0.000,57.055,79.423,54.291,39.793,39.888,0.000,2.068,2.145,1.114,2.292
1.550,1.609,0.000,1.116,0.000,47.560,64.598,45.475,61.152,60.566,0.000,3.730,0.055,0.016,2.075
1.560,2.079,0.000,0.108,0.539,40.134,52.104,39.597,72.228,72.436,0.000,3.931,0.000,0.000,0.487
1.570,1.066,0.112,0.000,2.638,33.317,41.127,34.826,75.488,77.264,0.000,2.334,0.000,0.000,0.000
1.580,0.000,1.568,0.000,3.398,24.802,29.302,28.041,77.763,80.912,0.000,0.035,0.000,0.000,0.000
1.590,0.000,1.523,0.000,2.079,14.400,15.603,18.008,82.861,86.330,0.000,0.000,0.000,0.000,0.000
1.600,0.000,0.614,0.000,0.225,4.948,2.785,6.749,90.041,92.400,0.000,0.000,0.000,1.376,1.385
1.610,1.108,0.000,0.000,0.000,0.000,0.000,0.000,96.463,97.149,0.000,2.060,0.000,1.618,1.969
1.620,1.360,0.000,0.000,1.614,0.000,0.000,0.000,99.743,99.778,0.000,3.847,0.000,0.483,1.340
1.630,0.846,0.000,0.000,2.988,2.004,0.000,0.000,99.734,100.458,1.720,4.161,0.000,0.000,0.221
1.640,0.890,0.000,0.000,2.171,3.144,1.420,0.000,98.608,99.906,3.241,3.776,0.384,0.000,0.000
1.650,2.095,0.000,1.174,0.000,1.766,0.237,0.000,98.426,98.975,3.660,4.265,1.038,0.937,0.000
1.660,3.373,0.000,1.481,0.000,0.000,0.000,1.223,98.596,97.718,3.770,6.102,0.747,2.073,0.443
1.670,3.053,0.000,0.808,0.000,0.000,0.000,1.596,96.686,95.106,4.939,8.292,0.000,1.782,2.474
1.680,0.805,0.000,0.025,0.000,0.194,0.000,1.180,91.722,90.316,7.601,9.963,0.000,0.000,3.968
1.690,0.000,0.000,0.000,0.000,2.809,0.000,0.550,85.421,83.966,11.000,11.490,0.000,0.000,3.736
1.700,0.000,0.000,0.000,0.000,3.438,0.000,0.230,79.676,77.390,14.199,13.628,0.000,0.000,2.187
1.710,0.000,0.000,0.000,0.000,1.088,0.065,0.312,74.144,71.018,16.843,16.234,0.000,1.231,0.809
1.720,0.000,0.000,0.000,0.000,0.000,0.715,0.433,67.408,64.390,18.920,18.414,0.000,3.210,0.221
1.730,1.032,0.000,0.000,0.000,0.000,1.879,0.389,59.590,57.660,20.362,19.763,1.193,2.842,0.000
1.740,1.501,0.000,0.000,0.864,0.000,2.795,0.560,52.264,51.928,21.162,20.980,1.462,0.906,0.000
1.750,1.246,0.000,0.000,1.393,0.000,2.572,1.391,46.045,47.566,21.535,22.897,0.498,0.000,0.000
1.760,1.276,0.000,0.000,0.852,0.000,1.549,2.589,39.852,43.096,21.701,24.921,0.000,0.170,0.000
1.770,2.291,0.000,0.174,0.000,0.000,0.905,3.292,33.020,36.808,21.673,25.190,0.391,1.283,0.000
1.780,3.700,1.394,2.080,0.000,0.000,0.900,3.062,26.750,29.216,21.195,22.759,2.706,1.535,0.000
1.790,3.876,2.996,2.809,0.000,0.000,0.508,2.274,22.423,22.799,19.797,18.987,4.701,0.892,0.792
1.800,1.944,2.438,1.572,0.000,0.737,0.000,1.430,19.441,19.192,17.211,16.103,5.387,0.767,3.418
1.810,0.000,0.400,0.000,0.000,0.000,0.000,0.551,16.156,17.482,14.006,14.871,5.864,2.521,6.349
1.820,0.000,0.000,0.000,0.321,0.000,0.000,0.000,12.438,15.505,11.375,14.322,7.954,6.302,9.667
1.830,0.000,0.000,0.000,0.308,0.000,0.000,0.000,9.896,12.240,9.843,13.317,12.344,11.454,13.983
1.840,0.903,0.000,0.477,0.000,1.349,0.000,0.000,9.483,8.559,8.631,11.548,18.279,17.759,19.850
1.850,2.156,0.000,0.391,0.000,3.090,0.687,0.000,9.963,5.796,6.930,9.132,24.593,25.889,26.847
1.860,1.303,0.787,0.597,0.000,1.976,2.296,0.558,9.164,4.162,5.326,6.253,30.622,36.595,33.804
1.870,0.000,1.553,1.569,0.000,0.000,2.697,0.913,6.227,3.041,4.985,3.537,36.329,49.836,39.972
1.880,0.000,2.291,2.561,1.032,0.000,1.245,0.563,2.392,2.324,5.662,1.870,42.222,64.637,45.656
1.890,0.000,2.876,2.532,0.794,0.000,0.000,0.000,0.000,2.393,5.611,1.419,49.218,79.325,51.608
1.900,0.000,3.170,1.365,0.000,0.123,0.000,0.000,0.083,2.912,3.622,1.480,57.708,92.074,57.952
1.910,0.000,2.729,0.000,0.000,2.158,0.000,0.000,2.354,2.784,0.349,1.480,66.259,102.022,63.873
1.920,0.000,1.208,0.000,0.000,2.705,0.000,0.061,4.335,1.522,0.000,1.340,72.036,109.571,68.304
1.930,0.000,0.000,0.000,0.000,2.337,0.606,0.582,3.758,0.000,0.000,0.905,73.231,114.708,70.621
1.940,0.798,0.000,0.000,0.000,1.688,0.619,1.015,0.565,0.000,0.000,0.055,70.634,115.606,70.671
1.950,1.398,0.000,0.000,0.000,0.739,0.000,1.116,0.000,0.000,0.000,0.000,66.415,110.112,68.429
1.960,0.000,0.000,0.000,0.497,0.000,0.000,0.522,0.000,0.000,0.000,0.000,61.881,98.342,63.853
1.970,0.000,0.000,0.000,0.028,0.000,1.482,0.000,0.000,0.000,0.000,1.007,56.809,82.900,57.039
1.980,0.000,0.000,0.000,0.000,0.000,3.605,0.000,1.947,0.000,1.588,0.961,50.545,66.889,48.505
1.990,20.709,21.834,0.000,0.000,0.212,4.245,0.000,3.154,0.000,1.718,0.000,43.154,52.426,39.359
2.000,55.002,55.578,0.000,0.188,1.217,2.862,0.000,1.627,0.000,0.300,0.000,35.270,40.402,30.874
2.010,85.029,84.520,0.607,0.678,1.199,0.729,1.439,0.000,0.000,0.000,0.000,27.080,30.374,23.492
2.020,99.905,99.016,2.868,0.000,0.754,0.000,1.927,0.000,0.000,0.000,0.000,18.184,20.826,16.561
2.030,102.765,102.410,3.644,0.000,0.981,0.000,0.672,0.000,0.000,0.000,0.008,8.972,10.966,9.713
2.040,103.987,104.209,2.706,0.000,2.000,0.772,0.000,0.000,0.000,0.000,1.574,1.531,2.551,4.143
2.050,109.894,110.123,1.289,0.000,3.014,1.551,0.000,0.000,0.602,0.000,2.357,0.000,0.000,1.423
2.060,119.592,119.398,0.393,0.000,3.351,2.386,0.000,0.000,1.424,1.276,2.042,0.000,0.000,1.242
2.070,129.333,128.366,0.196,0.059,2.731,3.377,0.340,0.000,0.944,2.415,0.705,0.000,3.023,1.566
2.080,136.673,134.365,0.691,0.681,1.008,3.747,0.512,0.000,0.000,2.349,0.000,0.000,4.160,1.051
2.090,141.041,137.229,1.799,0.664,0.000,2.788,0.000,0.000,0.000,1.280,0.000,0.000,2.364,0.114
2.100,142.844,138.643,2.900,0.806,0.000,1.152,0.000,0.000,0.000,0.389,0.000,0.000,0.000,0.000
2.110,142.947,140.380,3.166,1.877,0.000,0.384,0.447,0.000,0.000,0.443,0.000,0.000,0.000,0.000
2.120,142.171,142.562,2.593,3.800,0.000,1.195,0.593,0.000,0.000,0.872,0.258,0.000,0.000,0.931
2.130,140.686,143.424,2.166,6.050,1.023,2.623,0.000,1.986,0.000,0.797,0.257,0.000,0.449,2.334
2.140,138.005,141.051,2.816,8.454,1.851,2.986,0.000,4.300,0.000,0.412,0.756,0.120,0.993,3.406
2.150,133.710,135.396,4.684,10.822,0.791,1.607,0.000,4.553,0.000,0.537,2.225,1.336,0.025,2.851
2.160,128.233,128.344,7.555,12.467,0.000,0.000,0.000,2.784,0.000,1.206,3.731,2.077,0.000,0.258
2.170,122.749,121.772,11.363,13.176,0.000,0.000,0.000,0.393,0.000,1.630,3.880,1.815,0.000,0.000
2.180,117.910,115.971,15.764,14.129,0.000,0.051,0.000,0.000,0.000,1.475,2.712,0.915,0.000,0.000
2.190,112.761,110.255,19.765,16.713,0.657,1.903,0.757,0.000,0.000,1.298,1.717,0.219,0.000,0.000
2.200,105.602,104.360,22.687,20.560,1.067,2.490,1.935,0.997,0.000,1.404,1.596,0.089,2.219,1.620
2.210,96.160,98.298,25.086,23.756,1.223,1.155,2.805,1.592,0.000,1.063,1.011,0.073,3.652,2.896
2.220,86.306,91.318,27.730,25.149,1.329,0.000,2.679,0.870,0.000,0.000,0.000,0.000,3.046,2.264
2.230,78.124,82.409,30.040,25.691,1.248,0.000,1.302,0.000,1.035,0.000,0.000,0.000,1.028,1.415
2.240,71.646,72.149,30.806,26.925,0.798,0.000,0.000,0.000,1.526,0.000,0.000,0.000,0.000,1.483
2.250,65.095,62.915,30.232,28.747,0.167,0.546,0.000,0.000,0.108,0.450,0.000,0.000,0.000,1.804
2.260,57.331,56.468,29.893,29.686,0.000,1.098,0.000,0.000,0.000,2.118,0.500,0.000,0.000,1.146
2.270,49.255,51.772,30.588,29.168,0.316,0.757,1.830,0.000,0.000,1.497,2.824,0.000,0.000,0.000
